product_id,allergen_name
5,niacinamide
16,niacinamide
16,allantoin
16,niacinamide
17,allantoin
20,niacinamide
26,allantoin
30,niacinamide
35,niacinamide
35,sulfur
38,niacinamide
49,allantoin
52,allantoin
61,hyaluronic acid
64,niacinamide
71,niacinamide
78,niacinamide
80,allantoin
81,allantoin
84,niacinamide
84,allantoin
88,niacinamide
100,hyaluronic acid
104,hyaluronic acid
104,niacinamide
105,niacinamide
108,allantoin
115,allantoin
116,panthenol (vitamin b5)
125,niacinamide
125,hyaluronic acid
131,niacinamide
133,allantoin
134,niacinamide
135,hyaluronic acid
137,niacinamide
142,allantoin
144,niacinamide
147,niacinamide
148,niacinamide
151,niacinamide
152,allantoin
155,allantoin
155,hyaluronic acid
158,allantoin
159,allantoin
178,allantoin
182,niacinamide
189,isopropyl myristate
190,niacinamide
191,hyaluronic acid
193,niacinamide
204,allantoin
209,niacinamide
218,allantoin
234,niacinamide
255,niacinamide
265,hyaluronic acid
268,niacinamide
269,niacinamide
270,isopropyl myristate
274,hyaluronic acid
279,hyaluronic acid
299,allantoin
299,niacinamide
300,allantoin
308,allantoin
312,allantoin
321,allantoin
327,panthenol (vitamin b5)
330,allantoin
334,allantoin
340,niacinamide
351,allantoin
360,niacinamide
360,hyaluronic acid
383,allantoin
383,niacinamide
384,niacinamide
384,allantoin
386,hyaluronic acid
392,allantoin
392,niacinamide
411,allantoin
418,allantoin
421,allantoin
425,allantoin
429,allantoin
434,allantoin
444,allantoin
445,niacinamide
453,allantoin
457,niacinamide
465,allantoin
476,allantoin
480,allantoin
483,allantoin
495,allantoin
496,hyaluronic acid
496,hyaluronic acid
505,allantoin
507,allantoin
537,allantoin
541,aloe vera
543,niacinamide
543,allantoin
551,allantoin
555,niacinamide
559,isopropyl myristate
591,niacinamide
594,allantoin
604,niacinamide
607,hyaluronic acid
609,allantoin
611,hyaluronic acid
615,niacinamide
621,allantoin
628,niacinamide
629,isopropyl myristate
630,niacinamide
639,niacinamide
639,allantoin
651,sulfur
652,allantoin
655,sulfur
655,niacinamide
655,allantoin
660,niacinamide
675,hyaluronic acid
677,allantoin
684,niacinamide
690,niacinamide
691,niacinamide
691,hyaluronic acid
693,panthenol (vitamin b5)
694,hyaluronic acid
700,allantoin
701,allantoin
709,allantoin
711,niacinamide
714,niacinamide
715,hyaluronic acid
716,niacinamide
726,niacinamide
728,niacinamide
729,niacinamide
729,allantoin
740,sulfur
743,isopropyl myristate
744,allantoin
745,allantoin
752,sulfur
763,niacinamide
763,allantoin
766,niacinamide
772,allantoin
778,hyaluronic acid
784,niacinamide
788,hyaluronic acid
795,niacinamide
796,niacinamide
801,allantoin
804,hyaluronic acid
807,isopropyl myristate
809,niacinamide
815,niacinamide
824,niacinamide
832,niacinamide
833,allantoin
846,niacinamide
846,allantoin
849,allantoin
849,niacinamide
849,allantoin
855,allantoin
865,allantoin
865,hyaluronic acid
871,niacinamide
881,allantoin
884,allantoin
886,niacinamide
887,allantoin
895,hyaluronic acid
898,hyaluronic acid
899,niacinamide
899,niacinamide
913,allantoin
914,allantoin
916,niacinamide
917,niacinamide
919,niacinamide
919,allantoin
928,panthenol (vitamin b5)
929,niacinamide
930,hyaluronic acid
934,niacinamide
934,allantoin
938,allantoin
943,hyaluronic acid
943,allantoin
947,allantoin
951,niacinamide
951,allantoin
959,allantoin
962,allantoin
963,niacinamide
963,allantoin
970,allantoin
975,allantoin
977,allantoin
979,isopropyl myristate
980,niacinamide
980,niacinamide
982,allantoin
983,allantoin
988,allantoin
989,allantoin
990,allantoin
992,sulfur
994,allantoin
996,allantoin
1005,allantoin
1007,allantoin
1019,allantoin
1026,niacinamide
1026,allantoin
1027,allantoin
1029,niacinamide
1033,allantoin
1034,allantoin
1038,hyaluronic acid
1042,allantoin
1042,allantoin
1042,allantoin
1042,allantoin
1042,allantoin
1048,allantoin
1049,niacinamide
1049,allantoin
1052,niacinamide
1052,allantoin
1054,niacinamide
1055,allantoin
1057,allantoin
1059,niacinamide
1061,niacinamide
1076,niacinamide
1078,allantoin
1080,niacinamide
1080,allantoin
1081,niacinamide
1081,allantoin
1084,allantoin
1087,allantoin
1089,allantoin
1092,niacinamide
1106,niacinamide
1109,niacinamide
1110,niacinamide
1112,niacinamide
1114,allantoin
1131,hyaluronic acid
1133,niacinamide
1133,allantoin
1135,allantoin
1142,niacinamide
1144,niacinamide
1150,panthenol (vitamin b5)
1155,isopropyl myristate
1158,allantoin
1167,hyaluronic acid
1173,niacinamide
1175,niacinamide
1176,niacinamide
1182,niacinamide
1186,niacinamide
1186,allantoin
1189,niacinamide
1189,hyaluronic acid
1191,niacinamide
1191,allantoin
1207,niacinamide
1208,hyaluronic acid
1209,allantoin
1220,niacinamide
1220,allantoin
1225,kojic acid
1233,hyaluronic acid
1238,allantoin
1245,allantoin
1246,niacinamide
1248,niacinamide
1255,niacinamide
1256,hyaluronic acid
1262,hyaluronic acid
1263,niacinamide
1264,hyaluronic acid
1265,niacinamide
1281,niacinamide
1308,allantoin
1311,allantoin
1327,isopropyl myristate
1329,allantoin
1331,allantoin
1333,hyaluronic acid
1334,isopropyl myristate
1343,isopropyl myristate
1358,allantoin
1360,isopropyl myristate
1386,allantoin
1392,allantoin
1395,allantoin
1404,allantoin
1415,isopropyl myristate
1426,green tea extract
1430,niacinamide
1430,allantoin
1438,isopropyl myristate
1443,niacinamide
1446,isopropyl myristate
1465,niacinamide
